title,performer
2026 and the Shit Hits the Fan for Vladimir McTavish,Vladimir McTavish
(2026 Greek Comedian of the Year) George Zacharopoulos: The Meaning of Life (Maybe),George Zacharopoulos
2026 Pick of the Fringe,Hoots Fringe
2026 Scottish Comedy Festival's Pick of the Fringe,Scottish Comedy Festival
"10,000 Digits of Pi",Vinay Sagar / PBH's Free Fringe
AAA Comedy Gala,An Alphabetical Advantage Comedy Gala
Aaaaaaargh! It's the One Liner Show,Masai Graham
Aaagony Aunts,Louise Leigh and Pauline Eyre
Aalex Mandel-Dallal: Where Was I?,Aalex Mandel-Dallal
Aarian Mehrabani: How's Your Head?,"Aarian Mehrabani, Commissioned by Lowry"
Abandoman: Afterglow,Underbelly and Rob Broderick
Abbie Edwards: Knee Touch,Abbie Edwards
Abby Govindan: Pushing 30,Salam & Holohan
Abby Wambaugh: Absolute Improv!,TBC Improv UK Ltd
Another World Is Possible (A WIP),Abby Wambaugh
Absolute Monopoly,Benjamin Alborough
Abi Carter-Simpson and Joe McTernan: Stand-Up Couple,Abi Carter-Simpson and Joe McTernan
Abi Clarke – Revenge in Progress,Live Nation
About Comedy: Stand-Up Comedy Course,Laughing Horse Comedy
Absolute Bus Stops of Northern Europe and Beyond,Jim Judges
Absolute Nickhead,Nick Kirk
Achtung! The Only Sauerkraut in Town,Jürgen Strack Productions
Acid With Jesus: A Revolutionary Comedy Show,Andrew Tubman
Ada Bron: The Origin of Love,Queenie Miller for Hat Trick Productions
Adam Bromley: Hyperconnected,Adam Bromley
Adam Flood: Life and Death of the Party,PBJ Management
Adam Greene: The Wizard of Ozempic,Adam Greene
Adam Larter: Who Remembers the 90s?,Adam Larter
Adam Riches: The Critic's Way,Adam Riches
Adele Cliff: Work in Progress,Adele Cliff
Adele Cliff’s Topical Early Late Show With Adele Cliff,Adele Cliff
ADHD: A Crowdwork Comedy Show,Brendon Lemon
Adi Parmar: Sunny Boy,Pierrot Productions
Aditya Mayya Pretends to Be Sad,Aditya Mayya
Adrian Minkowicz: Latin America,Double the Bet / PBH's Free Fringe
Adrian Minkowicz: The Hand of God,Double the Bet / PBH's Free Fringe
ADULT LESSONS,George Dobson and Charlie Kettell
Adults Only Magic Show,Showmen Productions
The Adventures of Jasper Cromwell Jones,Millerbor
Adventures of the Improvised Sherlock Holmes,Ghostwriters
Affirmation (WIP),Josh Invain / PBH's Free Fringe
After Arthur,Jack Scullion / PBH's Free Fringe
Afternoon Nap – Peter Bazely,Peter Bazely / Free Festival
An Afternoon With Clinton Baptiste,Alex Lowe
Ageing Disgracefully: A Glass Ceiling-Smashing Comedy Showcase,Steve McLean / PBH's Free Fringe
Ahir Shah: Golden,Country Mile Productions in association with Avalon
Aidan Greene: Stuttermilk Pancakes,Lisa Richards
Aidan Jones: Chopin's Nocturne,Ingenious Fools Ltd
Aidan Jones – JS Bach,Aidan Jones
Aideen McQueen: Wo-Manosphere,Aviary Talent
Airplane Baby,Max Elias
Alan Jay: Hell Hath No Humour Like a Gayboy Scorned,Alan Jay
Alan Palmer (A Little Bit Gay),Palmer Productions
Alastair Clark: On The Record,Snap The Arrow / PBH's Free Fringe
Alcohol Free Comedy,Andy Roach / Sentia Spirits
Alcohol Is Good For You,Laugh Mob
Alex Camp: Dopamine Rat,Alex Camp
Alex Edelman: What Are You Going to Do,Alex Edelman
Alex Franklin: Kiss Me x,Alex Franklin
Alex Kitson: Now Look Here,Salam & Holohan
Alex La: Fool as Hell,Alex La
Alex Leam: Two Turntables and a Microphone,Alex Leam / PBH's Free Fringe
Alex Leam's Absolute Scenes,Alex Leam / PBH's Free Fringe
Alex Love: How To Win A Pub Quiz 2026,Alex Love
Alex Mason: Obsessed,Alex Mason / PBH's Free Fringe
Alexander Bennett: All It Takes,Alexander Bennett / PBH's Free Fringe
Alexis Sakellaris: CHILD STAR (Work in Progress),Alexis Sakellaris
Alfie Brown: The Entertainer,Alfie Brown
Alfie Dundas: First Class Panic,Curtis Brown
Alfie Moore: Fair Cop – Live!,Alfie Moore
Ali Brice: This Is The Way We Brush Our Teeth,Ali Brice / Hoots
Ali Woods: Working on it Part Two: The Revenge,Ali Woods
Alice Fraser: Oh Man!,Lee Martin for Gag Reflex
Alice Keys: Rocket Fan,Alice Keys
Alison Spittle: Finger Guns (Work in Progress),PARKAS at Independent Talent
All Killa No Filla: Live!,Berk's Nest in association with PBJ Management
All the Animals: Ranked (by Comedians),Leslie Gold
All Tied Up,To&Fro
Alternative Medicine,Alternative Medicine
All You Can Eat Continental Buffet,All You Can Eat / Free Festival
ALOK: Eat Pray Leave,AEG Presents
Alt or Nothing: Alternative Comedy Showcase,Hoots Fringe
The Alternative Comedy Memorial Society,The Alternative Comedy Memorial Society (ACMS)
Amanda Dwyer: Better Than Revenge,Amanda Dwyer
Amanda Hursy: Death of a Saleswoman (WIP),Amanda Hursy
Amelia Bayler: It Me Baby One More Time (WIP),Amelia Bayler
Amelia Hamilton: Moral Support,Impatient Productions
American Assholes: Escape to Edinburgh,In the Midst Productions
An American Comedy Show That Quite Possibly Might Be Funny to the British,Brendon Lemon
Among the Pigeons,TBC Improv
Amy Annette: Say What You Like About Me,Brass Tacks Comedy
Amy Matthews: Definitions of Toast,Amy Matthews
Amy Webber: Joy Ride,Amy Webber
Ana Little: Dating Through the Ages,Ana Little
Anarchy Cabaret Presents: West End New Act of the Year Showcase 2026,Steve McLean / PBH's Free Fringe
&,Michael Thomas Kennedy
