title,performer
Patrick Monahan: I'm Not A Terrorist – I'm Freddie Mercury,Lee Martin for Gag Reflex
Patti Harrison: Just Ironing Some Things Out!,Soho Theatre in association with UTA
Paul Black: Cash Cow,Paul Black
Paul Currie: REMOVE YOUR SKIN PLEASE,Paul Currie
Paul McDaniel: Harder Better Faster Paul-er,Paul McDaniel
Paul Merton and Suki Webster's Improv Show,Mick Perrin Worldwide by arrangement with Mandy Ward Artist Management
"Paul Savage: Comic, Relieved",Paul Savage
Paul Dennis: Title Explained In Blurb – The Musical. Well... sort of.,Paul Dennis
Paul Foot: The Future,Plosive Live
Paul Hilleard: Grogg,Paul Hilleard
Pernille Haaland: Nordic Operations,Pernille Haaland
Pervert Werewolf,Stolen Table Collective / PBH's Free Fringe
PG Hits! The Best in Stand-Up Comedy Without the Rude Bits!,RGB Monster
Phil Cooper: Deckchair,Phil Cooper
Phil Ellis: Bath Mat,Avalon
Phil Green The Boy Who Nearly Grew Up (WIP),Phil Green / PBH's Free Fringe
Phil Nichol: Aren't We Lucky,Lee Martin for Gag Reflex
Phil Nichol: The Naked Racist,Lee Martin for Gag Reflex
Phil O'Shea: Something About Dogs,Phil O'Shea
Phil Wang: UH OH,Phil Wang
Pierre Novellie: Do the One About...,Avalon
"Pierre Novellie: Okay, One More Then Bedtime",Avalon
Piggy Time,John Norris
Pins Needles,Pins & Needles
Pirates: You Wouldn't Steal A Boat,Spruce Moose Comedy
Pitch It Good – Live,Jim Hooker
Play On!,Purple Summer Theatre
The Pleasance Comedy Reserve,Pleasance
The Pleb's Pow Wow,Ian Stone
Police Cops: The Original,Police Cops
A Political Breakfast,Jesters Dublin / Harun Musho'd / PBH's Free Fringe
The Political Party with Matt Forde,Avalon Promotions Ltd
Poor Little Rich Girl,Tori Piskin
Prateek Kohli: Denial,Prateek Kohli / PBH's Free Fringe
Princess Sparkles,Lily Maryon
Progress In Work,All That Bex
A Pub Quiz for D**kheads,RGB Monster
Puck Bunnies: A Heated Rivalry Drag Musical Parody,Puck Bunnies
Quest for the Coolest F*cking Animal (A Kids Show for Adults),Robyn Perkins and Elaine Fellows
Punchline Bingo,Iain MacDonald / Free Festival
Rachel Baker Presents: Gwen – This is Not a Pyramid Scheme,Rachel Baker performing as Gwen
Punchline on Leith,Fringe @ Citadel
"Rachel Creeger: ""Queen of the Jews!""",Rachel Creeger
Purple Park Comedy,Jilberto Soto and Meka Mo
PUSS PUSS,Natalia Sledz
Queer Diary,Queer Diary CIC / Free Festival
Rachel Creeger: Ultimate Jewish Mother 2026,Rachel Creeger
Rachel Fairburn: Vexy Beasts,Phil McIntyre Live in association with PBJ Management presents
Rachel Galvo: Work in Progress,Rachel Galvo
Raul Kohli: Makes It Up As He Goes Along,Raul Kohli
Rachel Morton-Young: Dutch Courage,Rachel Morton-Young / Free Festival
Ray Bradshaw: Five Years in a Row,Ray Bradshaw
Raj Poojara: Dice,PARKAS at Independent Talent
Ray Fordyce: The Fordyce Saga,Ray Fordyce / Free Festival
Ray Fordyce's Not-So-Royal Variety Show,Ray Fordyce / Free Festival
RapGPT: Macshane,Stian Macshane
Ray O'Leary: I Can See O'Leary Now The Ray Has Gone,Impatient Productions
Rat Candy,Rat Candy
Raymond Mearns is Looking for Trouble,Raymond Mearns
The Real Housewife of Scotland,Jojo Sutherland
Refashioned: From Childhood Dream to Stylish Nightmare,Nicholas Elliott
Reginald D Hunter: Something Wicked That Other Way Comes,Mick Perrin Worldwide by arrangement with Mandy Ward Artist Management
Remy Kassimir: How Cum,Remy Kassimir Comedy LLC
Reuben Solo: Someone in This Crowd Will Betray Me [Revenge Edition],Mick Perrin Worldwide
Rhys James: Chop Logic,Off The Kerb Productions
Rich Hall: Chin Music,Off The Kerb Productions
Richard Herring: RHLSTP,Richard Herring
Richard Pulsford: Gold Fashioned Jokes,Mirth of Forth Productions
"Richard Pulsford: Yorkshire Dad, Immigrant Mum",Mirth of Forth Productions
Rhino Conservation Erotic Novel,Daniel Trengove and Gabriel Madden
Richard Stott: Streets Won't Forget,Richard Stott
Right That's It (I've Had Enough),Benjamin Gilvear
The Rise and Fall of a Mormon Homecoming Princess,Meghan Bean
Rizal Van Geyzel: Arrested Rob Copland: ONE (more please),Berk's Nest in association with PARKAS at Independent Talent
Rob Duncan: Printer of the Year,Rob Duncan
Rob Kemp: Beatlesjuice,Rob Kemp
Rob Moriarty: Sick in the Head,Rob Moriarty
Rizal Van Geyzel: Single Fatherhood,Bowtie Productions / Free Festival
Rob Nother: Another Way,Rob Nother
Rob Preston: Amazing Global Solutions,Queenie Miller for Hat Trick Productions
Rogier Bak Has Your Back,Rogier Bak
Pun to the Hills,Robin Boot / PBH's Free Fringe
Rohan Sharma: Sharmy Infinity,Rohan Sharma
Robin Grainger: Lemonade,Robin Grainger
RODEO!,RODEO!
Roger O'Sullivan: Divil May Cry,PARKAS at Independent Talent
Roger Prick: Sexopolis,BIGHEAD Comedy
Rory Bremner: Making an Impression,Fane Productions and PBJ Management
Rory Marshall: Thank You for the Opportunity,Country Mile Productions in association with United Agents
Rory o Hanlon: Honestly,Rory o Hanlon Comedy
Rosalie Minnitt: Clementine 2,AEG Presents
Rosco McClelland: The Bones,Lee Martin for Gag Reflex
Ruby Carr: Bite Me,Ruby Carr
Rose Matafeo: Work in Progress Morning Hour,Rose Matafeo
Rosie Holt: The Illegal Aliens Have Landed!,Impatient Productions in association with Sophie Chapman Talent
Rosie Jones: I Can't Tell What She's Saying,Off The Kerb Productions
Rowan Hackett: Brewed,Rowan Hackett
"Ruaridh Miller – Autocorrect Thinks My Name is ""Rubbish""",Ruaridh Miller
Ruby Wax: Absolutely Famous,Impatient Productions
Ryan Cullen: Cullen Me Softly,Ryan Cullen
"Ryan Kenny: Some Words, In an Order, On a Stage",Ryan Kenny
Ryan Mold: Resistant,Ryan Mold / Free Festival
Sadia Azmat: Rapism,Sadia Azmat
Salma Habib Lyons: Work in Progress,Salma Habib Lyons / PBH's Free Fringe
Sam Eley is Basil Crumbwick: Soul Sewage,BIGHEAD Comedy
"Sam Lake: Drop Zone Three Please, Ben (WIP)",Sam Lake
Sam Serrano: Mars,Sam Serrano
Samantha Day: I've Started So I'll Finish,Samantha Day / PBH's Free Fringe
Same Same but Different,Stacey Edwards and Sam Adamson / PBH's Free Fringe
Sami Abu Wardeh Hates You Sam Morrison: DUCK,Mick Perrin Worldwide
Sam Nicoresti: Baby Doomer,Salam & Holohan
Samira Banks – Work in Progress,Samira Banks
Sam Rhodes: Toy Cocoon,Sam Rhodes
Sammy KO,Sammy Obeid
Sapphire McIntosh – Squeaky Bum Time,Pierrot Productions
Sara Fran: Time Snatch,Sara Fran
Sara Pascoe: For One Night Only,Sara Pascoe and Curtis Brown
Sarah Bradley: How to Write a Romcom,Sarah Bradley
Sarah Roberts: Scary Movie 7,Salam & Holohan
Sasha Nezlobin: I'm Fine,Sasha Nezlobin
Sashi Perera – Pear Tree,KEG Touring
Scout Boxall: God's Favourite,Impatient Productions
Scally-Wankers,Surely Not Productions
Scary Queen of Scots,Gillian Cordiner
Sean Morley: Backchannel,Liebenspiel Presents
Seann Walsh: This Is Torture,Seann Walsh / Off The Kerb Productions
Hey Hey Divorcè,Mick Perrin Worldwide
Scott Manley Hadley: Bald Personality Disorder,Scott Manley Hadley AKA SOLID BALD / PBH's Free Fringe
Scottish Comedy Legends: Jim Smith,The Stand Comedy Club
The Secret Society,The Chandeliers
Selina Mosinski: Puss in Boots – A Working Class Fairy Tale,AEG Presents
Serkan Altunigne – Umurumda Degil,TuzBiber Stand-Up
Sex! with Becky Fury,Becky Fury
Sexatron,Journey Maranto and Gabe Sklan
Seymour Mace Is Covered In Stickers!,Seymour Mace
Seymour Mace's Other Show!,Seymour Mace
Shaggers,Art of Comedy
ShakeItUp: The Improvised Shakespeare Show,ShakeItUp Theatre in association with Benjamin Alborough
Shamilton! The Improvised Hip-Hop Musical,Baby Wants Candy
Shane Daniel Byrne: Baby This Time,Shane Daniel Byrne
Shane Torres,STAMPTOWN
Share the Craic,Magners Share the Craic
Sharon Wanjohi: A Perfect Life,IAM
Shaun Guff: Enuff Is Enuff,Clementine Bogg-Hargroves
She Beast – WIP,Jamie-Diane Rajaram
Shoot From The Hip,Blue Book Artist Managment
She/They,Bronwyn Farkas and Sophie Jean
She's a LOT,Louise O'Toole
Shine,Freya Bardell
Shit Arcade,Mike Drucker
Sh!t-faced Shakespeare®: Hamlet,Sh!t-faced Shakespeare®
Showstopper! The Improvised Musical,Showstopper Productions / Suzanna Rosenthal Productions
Shrink Wrapped: A Psychologist Analyses Comedians Live,Robyn Perkins
Sid Singh: Love Bombing,Sid Singh
Side Quest,Dirty 20
A Silent Disco Dance Tour by Silent Adventures,Silent Disco Adventures
"Silky in 'No, YOU’RE Poster Syndrome'",Silky
Silly and Surviving,Kie Carson
Silly Goose!,Silly Goose Comedy
Simon Amstell: I Love It Here,Show And Tell in association with KBJ Management
Simon Evans: Shadow Play,Blue Book Artist Management
Simon Munnery,Simon Munnery
Siobhan Dodd's Heckle Championship,Siobhan Dodd / PBH's Free Fringe
Sjur Hjeltnes: Go Go Go Cake and Piano,Sjur Hjeltnes
Sketchy Comedy: Where Art and Comedy Collide,Gill Cordiner
Slay24,Slay24
Small Town Funny: The Return!!,Small Town Funny
"Smile, It Might Never Happen",Game Called Chat
Sneaking Into Taylor Swift Cost Me $1989,Matt Watson
So You Think You're Funny? Heats,Gilded Balloon
So You Think You're Funny? Grand Final,Gilded Balloon
Sofar Comedy,Mohini Kotecha / Sofar Sounds
Sofie Hagen – I Think Some of This Is My Fault,Sofie Hagen
Şokopop Quiz Night,TuzBiber Stand-Up
Solve-Along-A-Murder-She-Wrote,Tim Benzie
(Some Guy Called) Dave Joke of the Fringe Showcase,Need To Know Comedy
"Someone Is Dead, Probably?",Comedy Take Out
Sophia Wren: The Best Girl in the World,Sophia Wren
Sophie Duker: Hot Beef Injection,Berk's Nest in association with Avalon Management
Sophie Garrad: A Period Drama,Mick Perrin Worldwide
Sophie Sconcia: Mother Superior,Sophie Sconcia
Soness: Sumo Injury Comeback Tour,Soness Stevens Kitano / Free Festival
Sooz Kempner: Imposter,Sooz Kempner
The Sound Within with Eisenberg and Stern,Created and Performed by
Sounds Queer to Me,Ivy Favier
Spencer Jones: Dogs,Soho Theatre
The Stand at The Scotsman,The Stand Comedy Club
Sponta-Deity Improv: Who Let the Gods Out?!,Stags and Hogg / Free Festival
Spooky Dookie: Cool New Planet!!,Claire McFadden & Maureen Monahan
Stamptown,Stamptown Proudly Presents
A STAN IS BORN! – Encore,Alexis Sakellaris
The Stand at Edinburgh Food Drink Academy: The Great Big Comedy Cook Off,The Stand Comedy Club
The Stand at W Edinburgh,The Stand Comedy Club
The Stand Late Club,The Stand Comedy Club
The Stand’s Pick of the Fringe,The Stand Comedy Club
The Stand-Up Experience,stand-up.co.uk
Stand-up Philosophy,Alex Farrow comedy
Stand-Up (Sat Down) with Ian Wood and Micky Burns,Ian Wood and Micky Burns
Stand-Up Science,Jericho Comedy / Free Festival
Star Wars: The Next Generation,Dan Willis / PBH's Free Fringe
Stefania Licari: Stephen Carlin: Kapitan Bomba,Stephen Carlin
Stephen Catling: Clown Fish Out Of Water,Ingenious Fools Ltd
Stephen Colfer: Stephen Jobs,Stephen Colfer
I Can Make You Italian in 55 Minutes,Stefania Licari
Steffan Alun: Windows,Steffan Alun
Stepdads: The Stepdads Les Mis (And More),Stepdads
"The Stevenson Experience: O Brother, Where Art Thou! (On stage, beside me)",The Stevenson Experience
Still Got It: Back Again!,Still Got It with Lissi Field / PBH's Free Fringe
StingAlong! (with Brad and Steve),Brad Tassell and Steve Goodie
Stolen Table's Very Spooky (and 100% Genuine) Ghost Tour,Stolen Table Collective
Stories From the Office of a Sex Dungeon,Katharyn Henson / Free Festival
Story Platform,"Junction Films, Gilded Balloon and Screen Scotland"
Strippers Advice Bureau,Ask A Stripper
Struan Logan: Chaotic Good,Stroodling Stories
Stu and Joe's Big Dumb Film Show,Stu Murphy and Joe Heenan
Stuart Goldsmith: Canary,Chambers Touring Ltd
Stuart Mitchell and Festival Friends,Stuart Mitchell
Stuart Mitchell – Solo Show,Stuart Mitchell
Stuart Thomas: Bad Fatty,Stuart Thomas
Support Group,Kwami Odoom and Jack Henry
"Susan Morrison: Swearing, Shit and Shagging – Scotland's Filthy History",Susan Morrison
Susan Popadopolas – Bonkers Bingo,Karen Philp / Susan Popadopolas
Susie McCabe: Coming of Rage,Off The Kerb Productions
Sweaty Clowns,Aireborne Theatre
Sydnee Washington: My Black Barbie Story,AEG Presents
Table Reads: New Comedy Script Showcase,DLT Entertainment UK Ltd
Tacky Teacher,Aleksandr Popov
Tam Cowan: A Pee With Pele (And Lots More P*sh),Carnation Productions
Tamsyn Kelly: Rat's Ass,Brass Tacks Comedy in association with PARKAS at Independent Talent
Tarang Hardikar: If I'm Not Wrong,Soho Theatre
Tartan Ribbon Comedy Benefit,The Pleasance
Tartan Tabletop: A Dungeons Dragons Comedy,Tartan Tabletop
Tasmin Sarkany: Now That's What I Call Bach!,Tasmin Sarkany
Tattoo Dave – Tat’s Life,Tattoo Dave
Tatty Macleod: Things My Mother Did (WIP),Tatty Macleod
Ted Hill: PowerPoindexter,Ted Hill
Terry Pratchett's Mort,Avondale Theatre Company
Tez Ilyas: Tez Things I Hate About You (Work in Progress),Tez Ilyas / Free Festival
That’s All I Need Now!,Chris Kent / PBH's Free Fringe
Theologist,Panad Productions ®
Things That Go Eek!,Things That Go Eek
The Thinking Drinkers' Great British Pub Ride,Lee Martin for Gag Reflex
This Integrated,China González
This Is My Baby: Live Podcast!,David Ian and Sarah Hester Ross
This Is Your Trial! The Fully-Improvised Comedy Courtroom,RGB Monster
Thom Tuck: Heartwarming Animal Content,Ishra Productions
Tiff Stevenson: Lucky (Work in Progress),Tiff Stevenson
Thor Stenhaug: Happy To Be Here (WIP),IAM
Those People,Lara Ciulli and Riana White
Three Bad Sisters,Shinanne Higgins
Three Bird Roast,Clare Harrison McCartney
Tia Rey: Oot Ma Banger,Tia Rey
Tilly Fletcher: Television,Liebenspiel Presents
Tim Biglowe: Plonka,Tim Biglowe / PBH's Free Fringe
Tim Vine: Sillypun Valley,Bound & Gagged Comedy
Time Travel Postman,Devon Loves ME! Productions
TITCLOWN: daddy's little girl,TITCLOWN
Title Goes Here,Gazelle Theatre
Toby Tarrant: Utter Bloke Nonsense,Live Nation
The Tokyo Idiots presents The Ultimate Japanese Comedy Show,"Yoshimoto Kogyo Co., Ltd."
Tom Ballard: Be Funny Challenge (Impossible),IAM
The Tom Brace Magic Hour,Alice Gorman Presents
Tom Cashman: NPC (Nearly Proficient Comedian),Impatient Productions in association with Jubilee Street
Tom Evans: All You Weed Is Love,Tom Evans
Tom Lawrinson: Speak of the Devil,PBJ Management
Tom Little in His Comfort Zone,Tom Little / PBH's Free Fringe
Tom Neenan: Portrait of a Tom as a Young Neenan,"Tom Neenan and Topper & Fred, with Sophie Chapman Management"
Tom Short: I Get ChatGPT To Write My Edinburgh Show,Tom Short
Tom Skelton: VIP (Visually Impaired Papa),Tom Skelton
Tom Stade Rules,Tom Stade / Blue Jeans Management
Tom Towelling Teaches You to Knit,Berk's Nest
Tom Ward: Post-Millennium Tension (WIP),Ebdon Management
Tori Morancay: Le French c'est Freak,Tori Morancay
The Totally Improvised Musical,The Totally Improvised Company
Toxic Femininity,Molly McBride and Mariah Bowden
Tony Cantwell: You Cry Weird,Off the Kerb Productions
Tony Cony: Lost in New York,Fred Newnes
Top of Their Game,Unnecessary Pretense Comedy
Trans Butch: Glorious Dog Woman,Ash Routh
Trauma Made Me Hot,Mariah Girouard / PBH's Free Fringe
Traumedy: A Guide to Being a Fabulous Homeless Addict,Iain Anderson
Trent H Baumann: All the Atoms in the Universe Really Made My Day,MONFU
"Troy Hawke: Never Stop, Never Change!",Troy Hawke
Truth Warrior Network... Live!,Little Green Men
Turn This Sh*t Off,The Three Stools
TuzBiber 3'lü,TuzBiber Stand-Up
"Two Guys, One GCSE",A Dave Vaughan and Liam McGough Production
Twonkey's Soft December Night in Tallahassee,Paul Vickers Presents / Free Festival
UK Pun Off,Iain MacDonald / Free Festival
An Unbiased Afternoon with Allaster McKallaster,Allaster McKallaster
Underbelly's Big Brain Tumour Benefit,Underbelly and The Brain Tumour Charity
UNDERGROUND MONK SHOW,Soho Theatre
Utku Ergin,TuzBiber Stand-Up
Vittorio Angelone: Off the Cuff,Vittorio Angelone
The Vampire Run,Jonathan Laury / Free Festival
The Van Gogh Shogh,Donna Oblongata
Verity Sharpe: Landlord's Wet Dream,Verity Sharpe
Veterans v Civilians,Project COMEDY
Viggo Venn: Only One,Impatient Productions
Vittorio Angelone: you can't Say Nothing any more,Show And Tell in association with Curtis Brown and UTA
Viva Las Welvis! with Gareth 'Complete Nonsense' Rees,Gareth 'Complete Nonsense' Rees / PBH's Free Fringe
Wait What Show: Deal with the Devil,Wait What Show
Wakey Wakey (It’s Time for Laughter),Stuart Nixon
Walt Unfrozen,Caleb Dollar
The Wanderer,Roleen Conn
Whisky for Dafties,Alan Anderson
Wanging On Live,Gilded Balloon with arrangement by YMU and Platform Media
WEBBER!,Grant Sharkey
Who Killed The Plot?,Who killed the plot? / Free Festival
Who Wants To Be A Sketch Comedian?,Bristol Revunions
Wiki Knows Best – The Rest Is Islands Whackadoo Gone Wild,Whackadoo Creatives
What Doesn’t Kill You Makes You Funnier,Thao Thanh Cao
What's Happening Now?,Sam Hampson
Wild Wild Christian,Simone McAlonen – Performer / Midnight Flâneur – Production House
"Will Adamsdale: AI, AI, Oh... (Or How I Wrote a Hit Sitcom with ChatGPT But We're Not Talking Now)",Fuel and Will Adamsdale
Will Noah: Dinner Dinner Chicken Winner,Will & Noah
Will BF: Moon Team IIIV,Best Before Productions
Will Davies: Heroic Scale,Will Davies
Will Hitt: Burying The Dead,Will Hitt
Will Mars: A Year in Augusts,Need To Know Comedy
Will Sebag-Montefiore: Game of Phones,Will Sebag-Montefiore
William Thompson: Touch Grass,The Lisa Richards Agency
WIP It Up,Stand Up Sanctuary
Wisard,Julian Hernandez
Wood and Crook: Wooden Crook,Wood and Crook / PBH's Free Fringe
Written Off,The Dutch Cords Theatre Company
You Straights Are F**ked Up!,Bona Broadcasting Ltd / Turan Ali
Your Choice Amanda Royce,Rachel Twigg
Yvette Segan: Guy's Girl,AEG Presents
Zachary Ruane: Comedy,IAM
Zoe Cousin: Paul Sykes Is Back on the Family Patch,Zoe Cousin
Zoe Wohlfeld: Dog Funeral,Zoe Wohlfeld
